"
",A : Academic Success,B : Access to UREs,C : COVID-19,D : Discipline,E : Social Sciences and or Humanities,F : STEM,G : Experiences and Outcomes of URE,H : Academic Success,I : Awards,J : GPA,K : Graduation,L : Persistence and Retention,M : Publications,N : Transfer,O : Access to UREs,P : Application Experiences,Q : Barriers to URE,R : Share of URM Students,S : General Perceptions and Experiences,T : Experiences,U : Program Expectations,V : Satisfaction,W : Graduate School and Career,X : Aspirations OR Expectations related to attending Graduate School,Y : Career Readiness,Z : Earnings,AA : Employment,AB : Enrollment in a Graduate Program,AC : Future or Long-Term Planning,AD : Identity Development,AE : Individual Identity Development,AF : Professional Identity Development,AG : Non-Cognitive Skills,AH : Communication,AI : Critical Thinking,AJ : General Self-Efficacy OR Research Self-Efficacy OR Confidence,AK : Leadership,AL : Resilience and Perseverance,AM : Teamwork and Collaboration and Interpersonal Skills,AN : Technical Skills,AO : Time Management and Organization,AP : Use of Mentorship and Campus Supports,AQ : Faculty,AR : Peer,AS : Well-being,AT : Anxiety,AU : Well-being and Mental Health,AV : FLAG,AW : General Perceptions and Experiences,AX : General Perceptions.Experiences,AY : Graduate School and Career,AZ : Identity Development,BA : Methodology,BB : Mixed or Multi-Methods,BC : Qualitative,BD : Quantitative,BE : Modality,BF : In-Person Program,BG : Mixed-Mode Program,BH : Not Specified,BI : Online Program,BJ : Negative,BK : Negative experience or outcome,BL : Non-cognitive skills,BM : Primary Institutional Context,BN : 4-Year University,BO : Community College,BP : Minority Serving Institution,BQ : Multi-institutional,BR : Undefined,BS : Program type,BT : Course-Based Program,BU : Individual Apprenticeship or Assistantship with Faculty,BV : Mixed modality,BW : Not Specified,BX : Summer-Based Program,BY : Sense of belonging,BZ : Underrepresented,CA : Underrepresented Group,CB : Use of Mentorship and Campus Supports,CC : Well-being
1 : A 3+8 Model of Undergraduate Research for Community College STEM Majors.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2 : A Case of Reform~ The Undergraduate Research Collaboratives.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3 : A case study of a novel summer bridge program to prepare transfer students for research in biological sciences.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4 : A Community Mentoring Model for STEM Undergraduate Research Experiences.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5 : A Course-Based Undergraduate Research Experience (CURE) in Biology~ Developing Systems Thinking through Field Experiences in Restoration Ecology,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
6 : A Course-Based Undergraduate Research Experience (CURE) using Ocean Plastic Microbes as a Framework that Is Impactful for Both In-Person and Online Course Modalities.,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
7 : A course‐based undergraduate research experience for bioinformatics education in undergraduate students.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8 : A Crash Course in Undergraduate Research.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
9 : A Culture of Undergraduate Research at a Diverse Public University Leads to Unprecedented Student Success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 : A CURE on the Evolution of Antibiotic Resistance in ~Escherichia coli~ Improves Student Conceptual Understanding,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
