Unnamed: 0,Total_Codes_Applied,Codes_Applied
1 : A 3+8 Model of Undergraduate Research for Community College STEM Majors.,9,"F : STEM, BB : Mixed or Multi-Methods, BE : Modality, BF : In-Person Program, BM : Primary Institutional Context, BN : 4-Year University, BO : Community College, BS : Program type, BX : Summer-Based Program"
2 : A Case of Reform~ The Undergraduate Research Collaboratives.,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program"
3 : A case study of a novel summer bridge program to prepare transfer students for research in biological sciences.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
4 : A Community Mentoring Model for STEM Undergraduate Research Experiences.,6,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
5 : A Course-Based Undergraduate Research Experience (CURE) in Biology~ Developing Systems Thinking through Field Experiences in Restoration Ecology,8,"C : COVID-19, F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program"
6 : A Course-Based Undergraduate Research Experience (CURE) using Ocean Plastic Microbes as a Framework that Is Impactful for Both In-Person and Online Course Modalities.,10,"C : COVID-19, F : STEM, BB : Mixed or Multi-Methods, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BX : Summer-Based Program"
7 : A course‐based undergraduate research experience for bioinformatics education in undergraduate students.,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
8 : A Crash Course in Undergraduate Research.,8,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
9 : A Culture of Undergraduate Research at a Diverse Public University Leads to Unprecedented Student Success,1,AV : FLAG
10 : A CURE on the Evolution of Antibiotic Resistance in ~Escherichia coli~ Improves Student Conceptual Understanding,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
