Article_ID,Original_Identifier,Title,Extracted_Year,Extracted_Author,Title_Length,Total_Codes_Applied,Number_of_Codes,Codes_Applied,Code_Frequencies,Code_A : Academic Success,Code_B : Access to UREs,Code_C : COVID-19,Code_D : Discipline,Code_E : Social Sciences and or Humanities,Code_F : STEM,Code_G : Experiences and Outcomes of URE,Code_H : Academic Success,Code_I : Awards,Code_J : GPA,Code_K : Graduation,Code_L : Persistence and Retention,Code_M : Publications,Code_N : Transfer,Code_O : Access to UREs,Code_P : Application Experiences,Code_Q : Barriers to URE,Code_R : Share of URM Students,Code_S : General Perceptions and Experiences,Code_T : Experiences,Code_U : Program Expectations,Code_V : Satisfaction,Code_W : Graduate School and Career,Code_X : Aspirations OR Expectations related to attending Graduate School,Code_Y : Career Readiness,Code_Z : Earnings,Code_AA : Employment,Code_AB : Enrollment in a Graduate Program,Code_AC : Future or Long-Term Planning,Code_AD : Identity Development,Code_AE : Individual Identity Development,Code_AF : Professional Identity Development,Code_AG : Non-Cognitive Skills,Code_AH : Communication,Code_AI : Critical Thinking,Code_AJ : General Self-Efficacy OR Research Self-Efficacy OR Confidence,Code_AK : Leadership,Code_AL : Resilience and Perseverance,Code_AM : Teamwork and Collaboration and Interpersonal Skills,Code_AN : Technical Skills,Code_AO : Time Management and Organization,Code_AP : Use of Mentorship and Campus Supports,Code_AQ : Faculty,Code_AR : Peer,Code_AS : Well-being,Code_AT : Anxiety,Code_AU : Well-being and Mental Health,Code_AV : FLAG,Code_AW : General Perceptions and Experiences,Code_AX : General Perceptions.Experiences,Code_AY : Graduate School and Career,Code_AZ : Identity Development,Code_BA : Methodology,Code_BB : Mixed or Multi-Methods,Code_BC : Qualitative,Code_BD : Quantitative,Code_BE : Modality,Code_BF : In-Person Program,Code_BG : Mixed-Mode Program,Code_BH : Not Specified,Code_BI : Online Program,Code_BJ : Negative,Code_BK : Negative experience or outcome,Code_BL : Non-cognitive skills,Code_BM : Primary Institutional Context,Code_BN : 4-Year University,Code_BO : Community College,Code_BP : Minority Serving Institution,Code_BQ : Multi-institutional,Code_BR : Undefined,Code_BS : Program type,Code_BT : Course-Based Program,Code_BU : Individual Apprenticeship or Assistantship with Faculty,Code_BV : Mixed modality,Code_BW : Not Specified,Code_BX : Summer-Based Program,Code_BY : Sense of belonging,Code_BZ : Underrepresented,Code_CA : Underrepresented Group,Code_CB : Use of Mentorship and Campus Supports,Code_CC : Well-being
1,1 : A 3+8 Model of Undergraduate Research for Community College STEM Majors.,A 3+8 Model of Undergraduate Research for Community College STEM Majors.,,1,76,9,9,"F : STEM, BB : Mixed or Multi-Methods, BE : Modality, BF : In-Person Program, BM : Primary Institutional Context, BN : 4-Year University, BO : Community College, BS : Program type, BX : Summer-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BE : Modality(1), BF : In-Person Program(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BO : Community College(1), BS : Program type(1), BX : Summer-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2,2 : A Case of Reform~ The Undergraduate Research Collaboratives.,A Case of Reform~ The Undergraduate Research Collaboratives.,,2,64,7,7,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program","F : STEM(1), BC : Qualitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BP : Minority Serving Institution(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
3,3 : A case study of a novel summer bridge program to prepare transfer students for research in biological sciences.,A case study of a novel summer bridge program to prepare transfer students for research in biological sciences.,,3,115,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BX : Summer-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,4 : A Community Mentoring Model for STEM Undergraduate Research Experiences.,A Community Mentoring Model for STEM Undergraduate Research Experiences.,,4,76,6,6,"F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program","F : STEM(1), BC : Qualitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BX : Summer-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5,5 : A Course-Based Undergraduate Research Experience (CURE) in Biology~ Developing Systems Thinking through Field Experiences in Restoration Ecology,A Course-Based Undergraduate Research Experience (CURE) in Biology~ Developing Systems Thinking through Field Experiences in Restoration Ecology,,5,148,8,8,"C : COVID-19, F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program","C : COVID-19(1), F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BP : Minority Serving Institution(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
6,6 : A Course-Based Undergraduate Research Experience (CURE) using Ocean Plastic Microbes as a Framework that Is Impactful for Both In-Person and Online Course Modalities.,A Course-Based Undergraduate Research Experience (CURE) using Ocean Plastic Microbes as a Framework that Is Impactful for Both In-Person and Online Course Modalities.,,6,170,10,10,"C : COVID-19, F : STEM, BB : Mixed or Multi-Methods, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BX : Summer-Based Program","C : COVID-19(1), F : STEM(1), BB : Mixed or Multi-Methods(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BP : Minority Serving Institution(1), BS : Program type(1), BT : Course-Based Program(1), BX : Summer-Based Program(1)",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
7,7 : A course‐based undergraduate research experience for bioinformatics education in undergraduate students.,A course‐based undergraduate research experience for bioinformatics education in undergraduate students.,,7,108,6,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,8 : A Crash Course in Undergraduate Research.,A Crash Course in Undergraduate Research.,,8,45,8,8,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented","F : STEM(1), BB : Mixed or Multi-Methods(1), BM : Primary Institutional Context(1), BP : Minority Serving Institution(1), BQ : Multi-institutional(1), BS : Program type(1), BX : Summer-Based Program(1), BZ : Underrepresented(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0
9,9 : A Culture of Undergraduate Research at a Diverse Public University Leads to Unprecedented Student Success,A Culture of Undergraduate Research at a Diverse Public University Leads to Unprecedented Student Success,,9,109,1,1,AV : FLAG,AV : FLAG(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10 : A CURE on the Evolution of Antibiotic Resistance in ~Escherichia coli~ Improves Student Conceptual Understanding,A CURE on the Evolution of Antibiotic Resistance in ~Escherichia coli~ Improves Student Conceptual Understanding,,10,117,6,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program","F : STEM(1), BD : Quantitative(1), BM : Primary Institutional Context(1), BN : 4-Year University(1), BS : Program type(1), BT : Course-Based Program(1)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
