Original_Title,Matched_Citation,Match_Score
260 : The Essential Features of Undergraduate Research,"Lopatto, D. (2003). The Essential Features of Undergraduate Research.",0.8869565217391304
"128 : Expectations and Perceptions of Undergraduate Research Mentoring~ Comparing First Generation, Low Income White~Caucasian and African American Students.","Ishiyama, J. (2007b). Expectations and Perceptions of Undergraduate Research Mentoring: Comparing First Generation, Low Income White/Caucasian and African American Students. College Student Journal, 41(3), 540–549.",0.847457627118644
199 : Measuring Student Learning Gains in Independent Research Experiences in the Sciences through Reflective Practice and ePortfolios.,"Picardo, K., & Sabourin, K. (2018b). Measuring Student Learning Gains in Independent Research Experiences in the Sciences through Reflective Practice and ePortfolios. Bioscene, 44(2), 29–36.",0.8469055374592834
102 : Does independent research with a faculty member enhance four-year graduation and graduate~professional degree plans~ Convergent results with different analytical methods.,"Kilgo, C., & Pascarella, E. (2016b). Does independent research with a faculty member enhance four-year graduation and graduate/professional degree plans? Convergent results with different analytical methods. Higher Education (00181560), 71(4), 575–592.",0.8374384236453202
"174 : Integrating Research Experiences Into Public Health Curricula~ Effects on Undergraduate Students' Knowledge of Neighborhood Inequalities, Perception of Research, and Motivation to Talk About Health Issues.","Zografos, K., Alcala, E., Capitman, J., & Khang, L. (2020b). Integrating Research Experiences Into Public Health Curricula: Effects on Undergraduate Students’ Knowledge of Neighborhood Inequalities, Perception of Research, and Motivation to Talk About Health Issues. Pedagogy in Health Promotion, 6(2), 113–118.",0.8204081632653061
126 : Expectations and Experience~ An Exploratory Study of Undergraduate Research Experiences as Viewed through the Experiential Learning Theory.,"Stebner, S., King, A. E. H., & Baker, L. M. (2016b). Expectations and Experience: An Exploratory Study of Undergraduate Research Experiences as Viewed through the Experiential Learning Theory. NACTA Journal, 60(4), 364–371.",0.8187134502923976
215 : Pipelines and Pathways~ Women of Color in Undergraduate STEM Majors and the College Experiences That Contribute to Persistence,"Espinosa, L. L. (2011b). Pipelines and Pathways: Women of Color in Undergraduate STEM Majors and the College Experiences That Contribute to Persistence. Harvard Educational Review, 81(2), 209–241.",0.8178913738019169
168 : Inclusive excellence through digital learning~ an undergraduate research experience to pilot cross-institutional collaboration between a historically black university and a predominantly white institution.,"Mathieu, M., Odera, M., Ofori-Boadu, A., & Richmond-Bryant, J. (2023b). Inclusive excellence through digital learning: An undergraduate research experience to pilot cross-institutional collaboration between a historically black university and a predominantly white institution. Intercultural Education, 34(3), 235–253.",0.8111332007952287
326 : What Knowledge of Responsible Conduct of Research Do Undergraduates Bring to Their Undergraduate Research Experiences~,"Mabrouk, P. A. (2016b). What Knowledge of Responsible Conduct of Research Do Undergraduates Bring to Their Undergraduate Research Experiences? Journal of Chemical Education, 93(1), 46–55.",0.8080808080808081
213 : Perspectives on the Agricultural and Life Sciences Undergraduate Research Experience at the University of Florida.,"Dahl, W. J., Ford, A. L., & Turner, R. E. (2013b). Perspectives on the Agricultural and Life Sciences Undergraduate Research Experience at the University of Florida. NACTA Journal, 57(3), 32–37.",0.8068965517241379
